"host_identity_verified","neighbourhood_group","neighbourhood","lat","long","country","country_code","instant_bookable","cancellation_policy","room_type","Construction_year","price","service_fee","minimum_nights","number_of_reviews","last_review","reviews_per_month","review_rate_number","calculated_host_listings_count","availability_365"
"verified","Brooklyn","Bedford-Stuyvesant",40.69154,-73.93094,"United States","US",FALSE,"strict","Entire home/apt",2008,573,115,2,4,"12/6/2016",0.12,4,1,0
"unconfirmed","Brooklyn","Bushwick",40.69945,-73.92771,"United States","US",TRUE,"strict","Private room",2012,82,16,1,9,"8/5/2017",0.26,4,2,0
"verified","Manhattan","Midtown",40.76556,-73.98197,"United States","US",TRUE,"strict","Entire home/apt",2019,169,34,30,1,"10/25/2017",0.05,3,121,189
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.68327,-73.92598,"United States","US",FALSE,"strict","Entire home/apt",2004,871,174,2,7,"6/26/2019",2.84,5,1,255
"unconfirmed","Brooklyn","Williamsburg",40.71906,-73.94394,"United States","US",TRUE,"strict","Entire home/apt",2008,722,144,30,10,"4/21/2019",0.32,2,8,97
"unconfirmed","Manhattan","Upper East Side",40.78194,-73.94791,"United States","US",TRUE,"moderate","Private room",2004,702,140,1,1,"6/11/2017",0.04,2,1,0
"verified","Brooklyn","Park Slope",40.67915,-73.98157,"United States","US",FALSE,"flexible","Entire home/apt",2014,812,162,1,4,"8/20/2018",0.15,3,1,20
"unconfirmed","Brooklyn","Crown Heights",40.67541,-73.95221,"United States","US",TRUE,"moderate","Entire home/apt",2013,885,177,2,16,"9/30/2018",0.49,4,1,0
"verified","Manhattan","Nolita",40.72204,-73.99705,"United States","US",FALSE,"strict","Private room",2018,577,115,2,10,"3/19/2017",0.29,3,1,0
"unconfirmed","Brooklyn","Bushwick",40.69983,-73.92981,"United States","US",TRUE,"strict","Private room",2013,951,190,2,5,"8/13/2017",0.15,3,1,0
"verified","Brooklyn","Boerum Hill",40.68475,-73.97986,"United States","US",TRUE,"strict","Entire home/apt",2005,1200,240,2,10,"4/28/2019",0.29,5,1,11
"unconfirmed","Manhattan","Chinatown",40.71534,-73.99918,"United States","US",TRUE,"moderate","Entire home/apt",2016,788,158,1,23,"7/1/2019",1.42,3,1,14
"verified","Manhattan","East Village",40.72891,-73.98868,"United States","US",FALSE,"flexible","Entire home/apt",2010,464,93,2,22,"5/26/2019",0.64,5,1,8
"verified","Manhattan","Midtown",40.76505,-73.97857,"United States","US",FALSE,"moderate","Entire home/apt",2012,706,141,30,3,"5/4/2019",0.09,4,9,0
"verified","Manhattan","Morningside Heights",40.81231,-73.95858,"United States","US",TRUE,"moderate","Private room",2019,900,180,2,20,"8/13/2017",0.59,4,1,0
"unconfirmed","Manhattan","Harlem",40.80697,-73.945,"United States","US",TRUE,"strict","Entire home/apt",2013,69,14,3,25,"6/21/2019",0.73,5,1,89
"verified","Queens","Ridgewood",40.70925,-73.91124,"United States","US",TRUE,"strict","Private room",2012,978,196,5,2,"9/21/2016",0.06,1,1,280
"verified","Manhattan","Inwood",40.86541,-73.92106,"United States","US",FALSE,"flexible","Private room",2015,427,85,5,0,NA,NA,1,1,0
"unconfirmed","Brooklyn","Flatbush",40.64028,-73.96095,"United States","US",FALSE,"moderate","Private room",2018,123,25,1,134,"6/19/2019",3.95,3,3,307
"unconfirmed","Queens","Ridgewood",40.69901,-73.90168,"United States","US",FALSE,"moderate","Entire home/apt",2012,1013,203,3,111,"6/26/2019",3.21,2,1,65
"unconfirmed","Queens","Long Island City",40.75253,-73.9315,"United States","US",TRUE,"flexible","Entire home/apt",2020,893,179,2,0,NA,NA,2,1,0
"verified","Brooklyn","Bedford-Stuyvesant",40.69385,-73.94413,"United States","US",TRUE,"moderate","Private room",2010,456,91,3,86,"6/26/2019",2.57,4,4,0
"unconfirmed","Manhattan","Midtown",40.75735,-73.96438,"United States","US",FALSE,"strict","Entire home/apt",2013,231,46,2,22,"6/30/2019",0.64,5,1,8
"unconfirmed","Manhattan","Chelsea",40.74615,-73.99182,"United States","US",FALSE,"moderate","Entire home/apt",2019,405,81,30,0,NA,NA,2,121,184
"unconfirmed","Queens","Rockaway Beach",40.58664,-73.81295,"United States","US",TRUE,"strict","Entire home/apt",2003,635,127,3,24,"6/8/2019",0.71,2,1,131
"unconfirmed","Brooklyn","East New York",40.67257,-73.89082,"United States","US",TRUE,"strict","Private room",2014,1016,203,5,27,"6/8/2019",0.81,1,2,42
"unconfirmed","Staten Island","South Beach",40.59385,-74.08825,"United States","US",FALSE,"moderate","Private room",2003,155,31,1,38,"5/5/2019",1.1,5,1,308
"unconfirmed","Manhattan","Upper West Side",40.79501,-73.97132,"United States","US",TRUE,"strict","Entire home/apt",2010,357,71,3,2,"10/17/2017",0.06,1,1,0
"unconfirmed","Manhattan","West Village",40.73537,-74.00209,"United States","US",FALSE,"moderate","Entire home/apt",2009,718,144,2,57,"7/1/2019",1.68,4,2,22
"verified","Manhattan","Upper East Side",40.77972,-73.94543,"United States","US",FALSE,"strict","Private room",2013,58,12,100,0,NA,NA,5,1,0
"verified","Manhattan","Financial District",40.70402,-74.00776,"United States","US",FALSE,"flexible","Entire home/apt",2004,661,132,3,3,"10/23/2016",0.09,4,1,0
"verified","Queens","Forest Hills",40.72,-73.85411,"United States","US",FALSE,"strict","Private room",2014,899,180,1,26,"6/10/2019",0.93,1,1,284
"verified","Manhattan","Hell's Kitchen",40.75611,-73.99387,"United States","US",FALSE,"moderate","Entire home/apt",2007,418,84,7,17,"6/30/2019",0.53,5,1,5
"verified","Brooklyn","Park Slope",40.66821,-73.98253,"United States","US",FALSE,"strict","Entire home/apt",2004,67,13,31,8,"3/4/2019",0.23,5,1,179
"unconfirmed","Brooklyn","Flatbush",40.64189,-73.96066,"United States","US",TRUE,"strict","Entire home/apt",2012,885,177,3,4,"3/22/2019",0.12,2,1,69
"verified","Brooklyn","Crown Heights",40.67154,-73.96221,"United States","US",TRUE,"strict","Private room",2008,406,81,1,8,"10/23/2016",0.23,2,1,0
"verified","Brooklyn","Greenpoint",40.72948,-73.94918,"United States","US",FALSE,"strict","Private room",2015,685,137,1,154,"6/15/2019",4.49,2,2,44
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.67854,-73.92321,"United States","US",FALSE,"strict","Entire home/apt",2010,518,104,2,6,"6/30/2019",0.66,2,1,9
"verified","Brooklyn","Crown Heights",40.67564,-73.95497,"United States","US",FALSE,"moderate","Entire home/apt",2022,111,22,3,48,"5/25/2019",1.42,1,1,3
"verified","Manhattan","Washington Heights",40.83503,-73.94166,"United States","US",TRUE,"moderate","Private room",2003,464,93,2,73,"6/18/2019",2.13,3,2,136
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.68381,-73.94346,"United States","US",TRUE,"moderate","Entire home/apt",2020,827,165,3,41,"6/29/2019",1.2,1,1,30
"verified","Brooklyn","Williamsburg",40.7122,-73.96619,"United States","US",FALSE,"moderate","Entire home/apt",2016,1128,226,2,51,"4/21/2019",1.51,4,1,0
"verified","Brooklyn","Prospect-Lefferts Gardens",40.65651,-73.95322,"United States","US",TRUE,"strict","Entire home/apt",2009,460,92,14,2,"10/30/2016",0.06,4,4,90
"verified","Brooklyn","Windsor Terrace",40.65828,-73.98451,"United States","US",FALSE,"flexible","Entire home/apt",2009,975,195,2,5,"7/21/2017",0.15,4,2,0
"unconfirmed","Brooklyn","Williamsburg",40.71865,-73.96392,"United States","US",TRUE,"moderate","Entire home/apt",2016,880,176,2,43,"6/23/2019",1.27,1,1,38
"unconfirmed","Brooklyn","Bushwick",40.68312,-73.9086,"United States","US",TRUE,"moderate","Entire home/apt",2005,572,114,30,42,"2/28/2019",1.24,5,1,355
"verified","Bronx","Kingsbridge",40.86932,-73.90057,"United States","US",TRUE,"strict","Private room",2006,896,179,2,56,"6/12/2019",1.68,3,1,38
"verified","Brooklyn","Bedford-Stuyvesant",40.68624,-73.95528,"United States","US",FALSE,"moderate","Private room",2006,467,93,1,204,"7/4/2019",5.92,4,1,163
"verified","Brooklyn","Flatbush",40.64018,-73.96152,"United States","US",TRUE,"flexible","Private room",2003,456,91,1,97,"6/17/2019",2.9,4,3,286
"verified","Manhattan","Hell's Kitchen",40.76793,-73.98561,"United States","US",FALSE,"strict","Private room",2004,257,51,1,133,"7/5/2019",3.95,2,1,61
"verified","Brooklyn","Vinegar Hill",40.70156,-73.98199,"United States","US",TRUE,"strict","Shared room",2005,764,153,2,37,"6/6/2019",1.09,1,1,83
"verified","Manhattan","Harlem",40.8153,-73.93741,"United States","US",TRUE,"flexible","Private room",2018,978,196,2,26,"10/24/2018",0.76,5,4,280
"verified","Manhattan","Washington Heights",40.84606,-73.93325,"United States","US",TRUE,"moderate","Private room",2022,388,78,5,0,NA,NA,1,1,365
"verified","Brooklyn","Williamsburg",40.71449,-73.96311,"United States","US",TRUE,"flexible","Private room",2005,826,165,2,8,"6/29/2017",0.23,4,5,0
"verified","Manhattan","Hell's Kitchen",40.76021,-73.99969,"United States","US",TRUE,"moderate","Entire home/apt",2015,1183,237,30,2,"5/10/2019",0.08,1,121,365
"verified","Manhattan","Harlem",40.81949,-73.94621,"United States","US",TRUE,"moderate","Entire home/apt",2007,172,34,3,67,"7/1/2019",1.96,5,1,0
"unconfirmed","Manhattan","Upper East Side",40.77334,-73.94848,"United States","US",FALSE,"flexible","Private room",2019,818,164,1,3,"9/19/2016",0.09,5,1,0
"verified","Queens","Sunnyside",40.74211,-73.91646,"United States","US",TRUE,"flexible","Entire home/apt",2007,624,125,2,48,"6/16/2019",1.42,5,1,13
"unconfirmed","Bronx","Parkchester",40.83112,-73.87319,"United States","US",FALSE,"strict","Private room",2022,197,39,3,25,"6/15/2018",0.73,2,2,0
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.68789,-73.9575,"United States","US",FALSE,"flexible","Private room",2012,400,80,3,3,"9/24/2017",0.1,2,1,0
"unconfirmed","Manhattan","Inwood",40.8604,-73.92716,"United States","US",FALSE,"moderate","Entire home/apt",2020,775,155,3,4,"7/13/2018",0.18,3,1,0
"unconfirmed","Brooklyn","Bushwick",40.70708,-73.92343,"United States","US",TRUE,"strict","Entire home/apt",2012,733,147,1,44,"6/26/2019",1.3,4,1,38
"unconfirmed","Bronx","Fieldston",40.88985,-73.90747,"United States","US",FALSE,"moderate","Private room",2012,660,132,2,16,"9/1/2017",0.47,4,1,0
"verified","Brooklyn","Bushwick",40.69251,-73.92478,"United States","US",FALSE,"moderate","Private room",2014,299,60,2,1,"9/12/2016",0.03,4,1,0
"unconfirmed","Manhattan","Murray Hill",40.7481,-73.97417,"United States","US",FALSE,"moderate","Entire home/apt",2004,1006,201,30,0,NA,NA,1,121,365
"unconfirmed","Manhattan","Washington Heights",40.83849,-73.93809,"United States","US",TRUE,"strict","Private room",2022,241,48,2,57,"1/7/2018",1.67,2,1,0
"verified","Brooklyn","Williamsburg",40.72022,-73.95727,"United States","US",FALSE,"strict","Entire home/apt",2009,119,24,10,5,"9/21/2018",0.14,3,1,0
"verified","Manhattan","Hell's Kitchen",40.76495,-73.98964,"United States","US",TRUE,"flexible","Entire home/apt",2012,963,193,5,1,"9/21/2016",0.03,2,1,0
"verified","Manhattan","Theater District",40.75863,-73.98812,"United States","US",TRUE,"flexible","Private room",2018,1064,213,1,163,"6/19/2019",4.75,2,1,102
"unconfirmed","Manhattan","Upper West Side",40.77718,-73.98023,"United States","US",TRUE,"moderate","Private room",2021,680,136,1,20,"6/24/2019",0.59,5,1,81
"unconfirmed","Manhattan","Harlem",40.80171,-73.95871,"United States","US",TRUE,"moderate","Private room",2007,358,72,7,4,"11/2/2018",0.12,1,2,0
"verified","Brooklyn","Cypress Hills",40.67825,-73.89416,"United States","US",TRUE,"moderate","Private room",2004,323,65,1,174,"6/30/2019",5.06,5,1,109
"unconfirmed","Manhattan","Washington Heights",40.8419,-73.93866,"United States","US",TRUE,"strict","Entire home/apt",2011,107,21,3,10,"9/3/2018",0.29,3,1,188
"unconfirmed","Manhattan","Upper East Side",40.7608,-73.96032,"United States","US",TRUE,"flexible","Entire home/apt",2012,261,52,30,0,NA,NA,4,121,364
"verified","Brooklyn","Bedford-Stuyvesant",40.69287,-73.94334,"United States","US",TRUE,"strict","Private room",2016,1056,211,1,4,"11/24/2016",0.12,3,1,0
"unconfirmed","Brooklyn","Williamsburg",40.71279,-73.94443,"United States","US",TRUE,"moderate","Entire home/apt",2009,169,34,3,96,"6/26/2019",2.87,2,2,0
"unconfirmed","Manhattan","Upper East Side",40.77979,-73.95379,"United States","US",TRUE,"strict","Entire home/apt",2021,586,117,2,8,"5/23/2018",0.23,3,1,0
"verified","Brooklyn","Bedford-Stuyvesant",40.68381,-73.91776,"United States","US",TRUE,"moderate","Entire home/apt",2010,592,118,4,55,"5/31/2019",1.62,5,1,17
"unconfirmed","Manhattan","Upper East Side",40.77883,-73.95205,"United States","US",TRUE,"flexible","Entire home/apt",2012,909,182,1,5,"5/21/2017",0.16,2,1,0
"verified","Brooklyn","Windsor Terrace",40.65949,-73.98422,"United States","US",FALSE,"strict","Private room",2012,1056,211,2,3,"10/21/2017",0.11,3,2,0
"verified","Manhattan","Harlem",40.80167,-73.95781,"United States","US",FALSE,"moderate","Private room",2006,703,141,3,3,"1/1/2019",0.09,4,2,0
"unconfirmed","Brooklyn","Borough Park",40.6371,-73.99834,"United States","US",FALSE,"moderate","Private room",2011,240,48,2,0,NA,NA,2,1,365
"verified","Brooklyn","Bushwick",40.69296,-73.92092,"United States","US",FALSE,"flexible","Private room",2003,159,32,1,0,NA,NA,2,1,83
"verified","Manhattan","East Harlem",40.79757,-73.94006,"United States","US",FALSE,"moderate","Private room",2003,1105,221,2,87,"6/28/2019",2.54,3,1,1
"verified","Queens","Astoria",40.7609,-73.92516,"United States","US",TRUE,"flexible","Entire home/apt",2019,720,144,5,2,"4/10/2017",0.06,3,1,0
"verified","Brooklyn","Bushwick",40.68918,-73.91217,"United States","US",TRUE,"flexible","Private room",2018,799,160,1,11,"2/18/2018",0.57,2,2,0
"unconfirmed","Manhattan","Upper East Side",40.76404,-73.96628,"United States","US",TRUE,"strict","Entire home/apt",2018,319,64,2,84,"6/7/2019",2.47,5,1,27
"unconfirmed","Brooklyn","Canarsie",40.63241,-73.89367,"United States","US",TRUE,"strict","Entire home/apt",2007,535,107,2,161,"6/26/2019",4.78,1,1,327
"unconfirmed","Brooklyn","Park Slope",40.67124,-73.98625,"United States","US",TRUE,"flexible","Entire home/apt",2008,573,115,2,117,"7/8/2019",3.41,4,1,226
"verified","Brooklyn","Bushwick",40.69141,-73.92092,"United States","US",TRUE,"strict","Entire home/apt",2019,875,175,3,6,"8/27/2018",0.22,1,1,194
"unconfirmed","Manhattan","Harlem",40.81041,-73.94337,"United States","US",TRUE,"flexible","Private room",2014,218,44,2,114,"5/27/2019",3.34,1,1,270
"unconfirmed","Brooklyn","Williamsburg",40.7119,-73.94431,"United States","US",FALSE,"strict","Private room",2015,324,65,3,17,"6/16/2019",0.5,4,1,4
"unconfirmed","Brooklyn","Bushwick",40.69096,-73.91055,"United States","US",FALSE,"strict","Entire home/apt",2016,1101,220,5,26,"5/20/2019",0.77,2,1,269
"verified","Manhattan","Harlem",40.82316,-73.94478,"United States","US",TRUE,"moderate","Entire home/apt",2022,1026,205,7,28,"6/23/2019",0.92,2,1,285
"verified","Manhattan","Civic Center",40.71391,-74.00624,"United States","US",FALSE,"moderate","Entire home/apt",2012,163,33,2,0,NA,NA,2,1,19
"unconfirmed","Brooklyn","Williamsburg",40.71156,-73.95454,"United States","US",TRUE,"flexible","Entire home/apt",2018,235,47,2,14,"6/15/2019",0.41,3,1,363
"verified","Manhattan","Upper West Side",40.79799,-73.96161,"United States","US",FALSE,"moderate","Entire home/apt",2013,917,183,30,0,NA,NA,3,12,233
"verified","Brooklyn","Greenpoint",40.73515,-73.95645,"United States","US",FALSE,"moderate","Entire home/apt",2022,310,62,5,0,NA,NA,4,1,0
"verified","Manhattan","Upper East Side",40.76744,-73.95901,"United States","US",FALSE,"strict","Entire home/apt",2012,764,153,4,2,"10/28/2016",0.06,3,1,0
"verified","Brooklyn","Bedford-Stuyvesant",40.69402,-73.94529,"United States","US",FALSE,"moderate","Private room",2011,263,53,3,63,"6/7/2019",1.91,3,4,291
"verified","Brooklyn","Greenpoint",40.72151,-73.94141,"United States","US",FALSE,"moderate","Private room",2012,715,143,1,39,"7/5/2019",1.66,4,2,15
"verified","Queens","Astoria",40.76802,-73.91815,"United States","US",TRUE,"flexible","Entire home/apt",2016,454,91,4,45,"6/30/2019",1.32,5,1,351
"unconfirmed","Queens","St. Albans",40.68692,-73.76832,"United States","US",TRUE,"flexible","Private room",2007,1013,203,2,74,"5/11/2019",2.16,1,5,174
"verified","Manhattan","Harlem",40.81205,-73.95273,"United States","US",FALSE,"strict","Private room",2021,781,156,2,100,"7/2/2019",3.09,2,9,345
"unconfirmed","Queens","Astoria",40.76326,-73.92569,"United States","US",FALSE,"strict","Entire home/apt",2020,865,173,3,3,"6/29/2017",0.09,4,2,0
"verified","Brooklyn","Prospect Heights",40.67758,-73.97123,"United States","US",TRUE,"flexible","Private room",2004,105,21,1,168,"7/6/2019",4.91,3,13,309
"unconfirmed","Queens","Rosedale",40.65378,-73.72582,"United States","US",TRUE,"moderate","Entire home/apt",2010,484,97,2,31,"1/7/2019",0.92,2,1,142
"unconfirmed","Manhattan","Gramercy",40.7363,-73.98338,"United States","US",TRUE,"flexible","Entire home/apt",2004,272,54,1,3,"12/20/2018",0.15,4,1,312
"verified","Manhattan","Upper East Side",40.77357,-73.95149,"United States","US",FALSE,"moderate","Entire home/apt",2004,449,90,1,99,"7/3/2019",5.22,3,2,42
"unconfirmed","Manhattan","East Harlem",40.79853,-73.94143,"United States","US",TRUE,"strict","Entire home/apt",2017,765,153,3,70,"6/16/2019",2.06,4,3,255
"verified","Queens","Elmhurst",40.74647,-73.88258,"United States","US",FALSE,"strict","Private room",2016,888,178,3,2,"7/7/2019",0.06,5,1,358
"verified","Brooklyn","Bedford-Stuyvesant",40.68664,-73.93849,"United States","US",FALSE,"moderate","Entire home/apt",2016,1122,224,3,33,"6/23/2019",2.12,4,1,166
"verified","Queens","Forest Hills",40.73602,-73.85619,"United States","US",TRUE,"moderate","Private room",2004,183,37,1,14,"4/16/2017",0.43,5,2,249
"verified","Bronx","Eastchester",40.88207,-73.83538,"United States","US",FALSE,"moderate","Entire home/apt",2009,1152,230,2,2,"5/21/2019",0.18,2,13,358
"unconfirmed","Manhattan","Hell's Kitchen",40.76748,-73.98609,"United States","US",TRUE,"strict","Entire home/apt",2005,169,34,30,1,"7/31/2017",0.04,5,96,311
"unconfirmed","Bronx","Bronxdale",40.85499,-73.86728,"United States","US",FALSE,"flexible","Private room",2011,445,89,4,10,"1/3/2017",0.3,2,1,88
"unconfirmed","Brooklyn","East Flatbush",40.63948,-73.95008,"United States","US",FALSE,"moderate","Private room",2003,763,153,1,35,"6/16/2019",1.03,3,2,365
"unconfirmed","Brooklyn","Crown Heights",40.67059,-73.94798,"United States","US",FALSE,"moderate","Private room",2008,359,72,2,0,NA,NA,1,2,0
"unconfirmed","Brooklyn","Bushwick",40.69078,-73.92167,"United States","US",FALSE,"strict","Private room",2020,655,131,1,109,"6/30/2019",3.19,2,1,364
"unconfirmed","Brooklyn","South Slope",40.66211,-73.98594,"United States","US",FALSE,"moderate","Private room",2014,503,101,1,80,"6/26/2019",2.44,3,1,30
"unconfirmed","Brooklyn","East Flatbush",40.64004,-73.94933,"United States","US",FALSE,"flexible","Private room",2003,178,36,1,43,"6/20/2019",1.26,1,2,266
"verified","Manhattan","Upper East Side",40.77395,-73.95248,"United States","US",TRUE,"flexible","Entire home/apt",2003,80,16,30,4,"2/2/2019",0.17,1,9,364
"verified","Brooklyn","Williamsburg",40.7065,-73.95568,"United States","US",FALSE,"flexible","Private room",2003,901,180,3,76,"6/21/2019",2.24,5,2,89
"verified","Manhattan","Civic Center",40.71342,-73.99929,"United States","US",FALSE,"flexible","Entire home/apt",2006,1124,225,2,8,"12/29/2018",0.23,1,1,58
"verified","Queens","Ozone Park",40.67238,-73.83909,"United States","US",TRUE,"moderate","Private room",2010,1092,218,1,212,"6/30/2019",6.19,4,1,164
"verified","Brooklyn","Sunset Park",40.66005,-73.99204,"United States","US",FALSE,"moderate","Entire home/apt",2017,240,48,4,123,"6/22/2019",3.61,4,1,101
"unconfirmed","Manhattan","Hell's Kitchen",40.76408,-73.98996,"United States","US",FALSE,"strict","Private room",2018,215,43,1,98,"5/12/2019",2.87,3,3,27
"unconfirmed","Manhattan","Upper West Side",40.77794,-73.9763,"United States","US",FALSE,"moderate","Entire home/apt",2022,550,110,2,24,"6/10/2019",0.7,3,1,207
"unconfirmed","Brooklyn","Sunset Park",40.64925,-74.01147,"United States","US",FALSE,"moderate","Private room",2008,371,74,7,0,NA,NA,5,1,88
"verified","Brooklyn","Crown Heights",40.66692,-73.95205,"United States","US",FALSE,"moderate","Entire home/apt",2022,801,160,1,7,"6/19/2019",0.21,1,1,6
"verified","Brooklyn","DUMBO",40.70426,-73.98633,"United States","US",TRUE,"strict","Private room",2011,227,45,2,98,"6/29/2019",2.88,5,2,164
"verified","Manhattan","Midtown",40.75233,-73.97137,"United States","US",FALSE,"strict","Private room",2020,562,112,2,1,"9/22/2017",0.05,3,13,285
"verified","Queens","Astoria",40.75692,-73.9293,"United States","US",FALSE,"flexible","Private room",2017,670,134,2,15,"1/28/2017",0.44,5,1,0
"unconfirmed","Queens","Elmhurst",40.74596,-73.87762,"United States","US",TRUE,"strict","Private room",2008,255,51,2,0,NA,NA,5,2,66
"unconfirmed","Brooklyn","Bushwick",40.7005,-73.9144,"United States","US",FALSE,"moderate","Private room",2016,839,168,2,2,"12/22/2018",0.29,3,1,0
"verified","Manhattan","Chelsea",40.74063,-73.99843,"United States","US",TRUE,"strict","Private room",2011,590,118,5,2,"10/29/2016",0.06,2,1,0
"verified","Manhattan","Harlem",40.82986,-73.93965,"United States","US",TRUE,"strict","Entire home/apt",2017,909,182,2,0,NA,NA,1,1,0
"unconfirmed","Brooklyn","Williamsburg",40.71933,-73.95993,"United States","US",TRUE,"strict","Entire home/apt",2012,337,67,1,157,"6/23/2019",4.58,5,1,155
"verified","Queens","Ozone Park",40.68285,-73.85248,"United States","US",FALSE,"strict","Entire home/apt",2009,344,69,5,17,"6/29/2019",0.49,2,1,331
"unconfirmed","Brooklyn","Williamsburg",40.70661,-73.93584,"United States","US",FALSE,"flexible","Private room",2005,1178,236,1,1,"10/1/2016",0.03,2,1,0
"unconfirmed","Queens","Long Island City",40.76117,-73.92847,"United States","US",TRUE,"moderate","Private room",2019,427,85,3,37,"5/11/2019",1.09,3,1,18
"unconfirmed","Manhattan","East Village",40.72693,-73.98385,"United States","US",FALSE,"flexible","Entire home/apt",2012,674,135,3,10,"12/31/2018",0.3,3,1,0
"unconfirmed","Brooklyn","Crown Heights",40.67667,-73.9175,"United States","US",TRUE,"strict","Entire home/apt",2004,1082,216,2,126,"6/14/2019",3.74,1,1,74
"verified","Queens","Woodhaven",40.69626,-73.8488,"United States","US",FALSE,"flexible","Private room",2006,266,53,5,15,"12/31/2018",0.44,2,6,238
"unconfirmed","Manhattan","Midtown",40.76485,-73.98121,"United States","US",FALSE,"moderate","Private room",2004,151,30,2,1,"5/8/2017",0.04,5,2,0
"unconfirmed","Manhattan","Upper West Side",40.78074,-73.97849,"United States","US",FALSE,"strict","Entire home/apt",2014,102,20,1,138,"6/22/2019",4.08,1,1,32
"unconfirmed","Manhattan","Midtown",40.75034,-73.9878,"United States","US",FALSE,"flexible","Entire home/apt",2010,1199,240,30,0,NA,NA,2,96,311
"unconfirmed","Brooklyn","Greenpoint",40.73379,-73.95461,"United States","US",TRUE,"strict","Entire home/apt",2015,375,75,1,13,"3/18/2017",0.38,3,1,0
"verified","Brooklyn","Bedford-Stuyvesant",40.6892,-73.9506,"United States","US",TRUE,"flexible","Private room",2019,395,79,1,0,NA,NA,1,1,0
"verified","Manhattan","Nolita",40.72332,-73.99466,"United States","US",FALSE,"strict","Entire home/apt",2012,1024,205,30,7,"3/26/2019",0.24,2,91,66
"unconfirmed","Manhattan","Harlem",40.81438,-73.95183,"United States","US",FALSE,"flexible","Entire home/apt",2016,745,149,4,6,"5/8/2018",0.19,5,2,0
"unconfirmed","Manhattan","Harlem",40.83043,-73.94672,"United States","US",TRUE,"flexible","Private room",2016,573,115,1,5,"9/16/2018",0.15,4,1,5
"verified","Brooklyn","Bedford-Stuyvesant",40.69467,-73.94833,"United States","US",FALSE,"strict","Private room",2019,629,126,3,0,NA,NA,1,1,0
"unconfirmed","Manhattan","Upper West Side",40.78766,-73.97414,"United States","US",FALSE,"strict","Private room",2012,153,31,2,19,"6/19/2018",0.6,1,1,0
"verified","Manhattan","Upper West Side",40.77201,-73.97994,"United States","US",TRUE,"moderate","Private room",2007,216,43,3,123,"7/1/2019",3.72,1,1,246
"unconfirmed","Brooklyn","Williamsburg",40.70719,-73.95927,"United States","US",TRUE,"moderate","Shared room",2020,1094,219,1,12,"9/18/2018",0.35,3,2,362
"verified","Brooklyn","Kensington",40.64552,-73.97824,"United States","US",TRUE,"flexible","Private room",2006,495,99,1,1,"9/21/2016",0.03,4,1,0
"verified","Brooklyn","Gowanus",40.67127,-73.99006,"United States","US",FALSE,"flexible","Private room",2022,964,193,2,97,"6/21/2019",2.92,1,2,80
"verified","Manhattan","Harlem",40.80555,-73.95706,"United States","US",TRUE,"moderate","Entire home/apt",2020,222,44,5,19,"1/1/2019",0.56,4,3,1
"verified","Manhattan","East Harlem",40.79639,-73.9347,"United States","US",TRUE,"moderate","Private room",2015,202,40,7,3,"5/15/2019",0.09,2,1,215
"unconfirmed","Queens","Corona",40.73702,-73.857,"United States","US",FALSE,"strict","Private room",2012,338,68,1,105,"7/3/2019",3.07,4,1,347
"verified","Manhattan","Civic Center",40.71727,-74.00335,"United States","US",TRUE,"strict","Private room",2017,508,102,3,0,NA,NA,5,1,189
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.69377,-73.9307,"United States","US",FALSE,"moderate","Entire home/apt",2020,1192,238,2,8,"7/6/2019",0.24,5,1,10
"verified","Queens","Jamaica",40.6871,-73.77887,"United States","US",FALSE,"moderate","Private room",2009,697,139,3,16,"1/3/2019",0.47,4,2,359
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.68474,-73.93833,"United States","US",TRUE,"flexible","Private room",2005,858,172,7,1,"9/19/2016",0.03,2,1,0
"unconfirmed","Queens","Sunnyside",40.73912,-73.92075,"United States","US",FALSE,"strict","Private room",2003,990,198,1,168,"7/1/2019",4.93,5,3,322
"verified","Queens","Sunnyside",40.73908,-73.9203,"United States","US",TRUE,"strict","Private room",2008,386,77,1,134,"7/1/2019",3.93,4,3,308
"verified","Queens","Sunnyside",40.7385,-73.91993,"United States","US",TRUE,"flexible","Private room",2013,124,25,1,143,"5/29/2019",4.25,3,3,323
"unconfirmed","Queens","Sunnyside",40.74651,-73.92283,"United States","US",FALSE,"flexible","Entire home/apt",2010,755,151,3,29,"6/15/2019",0.93,5,2,0
"verified","Queens","St. Albans",40.68511,-73.76884,"United States","US",TRUE,"moderate","Private room",2022,314,63,2,125,"5/21/2019",3.65,5,5,365
"verified","Manhattan","Hell's Kitchen",40.75842,-73.99276,"United States","US",TRUE,"flexible","Private room",2004,995,199,2,0,NA,NA,1,1,0
"verified","Brooklyn","Bedford-Stuyvesant",40.68201,-73.95553,"United States","US",FALSE,"moderate","Entire home/apt",2003,1019,204,30,6,"12/31/2016",0.18,1,1,0
"verified","Manhattan","East Village",40.73213,-73.98517,"United States","US",FALSE,"flexible","Entire home/apt",2005,675,135,5,24,"12/30/2018",0.71,3,1,17
